voter_id,action,latency,timestamp
VOID001,login,1.6376559734344482,2025-03-13 13:28:55
VOID001,login,1.5232748985290527,2025-03-13 14:20:16
VOID001,login,1.5028607845306396,2025-03-15 23:50:03
VOID001,login,1.3541176319122314,2025-03-15 23:52:54
VOID001,login,1.626035213470459,2025-03-16 00:10:31
VOID001,login,1.3291900157928467,2025-03-16 00:14:07
VOID001,login,1.2664005756378174,2025-03-16 00:15:01
VOID001,login,1.2894008159637451,2025-03-16 00:16:32
VOID001,login,2.007810354232788,2025-03-16 00:17:35
VOID001,login,1.4796864986419678,2025-03-16 00:21:36
VOID001,login,1.5804026126861572,2025-03-16 00:33:09
VOID001,login,1.4629557132720947,2025-03-16 00:52:46
VOID001,login,1.3414382934570312,2025-03-16 00:55:59
VOID001,login,1.1412367820739746,2025-03-16 00:56:00
VOID001,login,1.7002320289611816,2025-03-16 01:15:30
VOID001,login,1.225872278213501,2025-03-16 01:16:56
VOID001,login,1.2482550144195557,2025-03-16 01:18:14
VOID001,login,4.255208492279053,2025-03-18 14:58:21
VOID001,login,5.727820634841919,2025-03-18 15:06:54

VOID001,login,5.997094631195068,2025-03-18 15:23:47
VOID001,login,4.174014329910278,2025-03-18 15:38:53
VOID001,login,3.2908096313476562,2025-03-18 15:45:26
VOID001,login,9.534238576889038,2025-03-18 16:01:00
VOID001,login,4.908536911010742,2025-03-18 16:01:00
VOID001,login,1.627842903137207,2025-03-18 16:10:29
VOID001,login,1.5408494472503662,2025-03-18 16:13:51
VOID001,login,1.7009713649749756,2025-03-18 21:43:41
VOID001,login,1.5560760498046875,2025-03-18 21:53:02
VOID001,login,2.1984357833862305,2025-03-18 22:06:26
VOID001,login,1.7190206050872803,2025-03-18 22:31:15
VOID001,login,2.9659502506256104,2025-03-18 22:42:27
VOID001,login,1.7262415885925293,2025-03-18 22:46:24
VOID001,login,1.6036221981048584,2025-03-18 22:49:31
VOID001,login,1.6204807758331299,2025-03-18 22:51:18
VOID001,login,1.686694622039795,2025-03-18 23:02:04
VOID001,login,1.6705408096313477,2025-03-18 23:03:14
VOID001,login,1.515967845916748,2025-03-18 23:14:56
VOID001,login,1.4499156475067139,2025-03-18 23:16:27
